Genes,Metabolism,Cysteine and methionine metabolism,L1CAM interactions,Glycolysis and gluconeogenesis,Recycling pathway of cell adhesion molecule L1,Unwinding of DNA,DNA strand elongation,One-carbon metabolism,Tricarboxylic acid (TCA) cycle and respiratory electron transport,CDK regulation of DNA replication,RhoA signaling pathway,Pyruvate metabolism,Apoptotic execution  phase,Amino acid metabolism,Sulfur amino acid metabolism,Cytosolic tRNA aminoacylation,Axon guidance,"Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",Glycolysis,Arachidonate epoxygenase/epoxide hydrolase pathway,Neurofascin interactions,NrCAM interactions,Folate metabolism,Activation of the pre-replicative complex,Prostaglandin biosynthesis and regulation,G1 to S cell cycle control,"Glycine, serine and threonine metabolism",Propanoate metabolism,Phase II of biological oxidations: conjugation,Fructose and mannose metabolism,Cystic fibrosis transmembrane conductance regulator (CFTR) and beta 2 adrenergic receptor (b2AR) pathway,Methylation,G13 signaling pathway,"Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins",Caspase-mediated cleavage of cytoskeletal proteins,G2/M checkpoints,EGF/EGFR signaling pathway,Activation of DNA fragmentation factor,Developmental biology,Interleukin-2 signaling pathway,DNA replication,Transfer RNA aminoacylation,Translation,Diurnally regulated genes with circadian orthologs,Deadenylation-dependent mRNA decay,Cell-extracellular matrix interactions,Glyoxylate and dicarboxylate metabolism,Hypoxia-inducible factor in the cardivascular system,Actin cytoskeleton regulation,Synaptic proteins at the synaptic junction,"Unblocking of NMDA receptor, glutamate binding and activation",Ras activation upon calcium influx through NMDA receptor,Tryptophan metabolism,Golgi-associated vesicle biogenesis,RNA degradation,S phase,Licensing factor removal from origins,Gene expression,BDNF signaling pathway,Lysosome vesicle biogenesis,FSH regulation of apoptosis,Influenza viral RNA transcription and replication,Phosphoinositides and their downstream targets,Spliceosome,Nucleotide metabolism,Cell-cell communication,Ascorbate and aldarate metabolism,Selenoamino acid metabolism,Glucuronidation,Gastric acid secretion,Messenger RNA processing,Mitotic G1-G1/S phases,Oxidative phosphorylation,Biological oxidations,Activation of kainate receptors upon glutamate binding,Glutamate binding and activation of AMPA receptors and synaptic plasticity,Cardiac muscle contraction,Gluconeogenesis,Signaling by Robo receptor,Cell junction organization,mRNA stability regulation by proteins that bind AU-rich elements,EGFR1 pathway,DNA replication pre-Initiation,Disease,Activation of NMDA receptor upon glutamate binding and postsynaptic events,Pyruvate metabolism and citric acid (TCA) cycle,T cell receptor regulation of apoptosis,Glyoxylate metabolism,Nifedipine activity,Plasma membrane estrogen receptor signaling,Bioactive peptide-induced signaling pathway,Messenger RNA splicing: minor pathway,Insulin secretion regulation by glucagon-like peptide-1,Electron transport chain,ADP signalling through P2Y purinoceptor 1,Pyrimidine biosynthesis,G beta-gamma signaling through PI3K gamma,Methionine salvage pathway,Multi-drug resistance factors,Amino sugar and nucleotide sugar metabolism,Cytoplasmic ribosomal proteins,Protein metabolism,LKB1 signaling events
EZR,NA,NA,6.299808378179526e-6,NA,5.1337090391187706e-5,NA,NA,NA,NA,NA,3.3885149264724454e-4,NA,NA,NA,NA,NA,7.192595792582219e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002863318100961287,NA,NA,NA,NA,NA,NA,NA,0.0041152480491620826,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006795339575029228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013670521360701886,NA,NA,NA,NA,NA,NA,NA,NA,0.017558050364689826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04734121526635116
FLNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00609765100943916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015545048826221772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02447341666432229,NA,NA,NA,NA,NA,NA,0.03554852978080586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00609765100943916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01320863301927489,NA,0.013670521360701886,NA,NA,NA,NA,0.015545048826221772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02447341666432229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GANAB,1.9057919963617813e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04645016755252211,NA
GNB1,1.9057919963617813e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013670521360701886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02066149553282785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036951320322312485,0.036951320322312485,NA,0.04030552870359727,NA,0.04359178583983181,NA,0.04359178583983181,NA,NA,NA,NA,NA,NA
GRHPR,1.9057919963617813e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9151213429866e-4,NA,6.318141320912785e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00609765100943916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03645982524307186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSK3A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014595981111558798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028437332142455835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSTP1,1.9057919963617813e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0011147250767436208,NA,NA,NA,NA,NA,NA,NA,NA,0.001904747164300816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005383370749002264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019879526250077374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03554852978080586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04359178583983181,NA,NA,NA,NA
HIST1H1C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9151213429866e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004021496387506467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HIST1H1D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9151213429866e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004021496387506467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HK1,1.9057919963617813e-8,NA,NA,1.96182290079505e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0010195277888179878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002008340368853316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016913737768065255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043770139347624484,NA,NA,NA
HSPB1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01272210909709254,0.01320863301927489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02600861597793,0.026531964730384903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IQGAP1,1.9057919963617813e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0029856190200072755,NA,NA,NA,0.0040065964424969985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006795339575029228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015545048826221772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04030552870359727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KARS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.170275110421054e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00414723521910291,NA,0.004775813613167917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01272210909709254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LDHA,1.9057919963617813e-8,4.852824304672357e-6,NA,1.96182290079505e-5,NA,NA,NA,NA,2.3629151823972944e-4,NA,NA,5.9151213429866e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0018410454039032333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00609765100943916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03531687253719723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LDHB,1.9057919963617813e-8,4.852824304672357e-6,NA,1.96182290079505e-5,NA,NA,NA,NA,2.3629151823972944e-4,NA,NA,5.9151213429866e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0018410454039032333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00414723521910291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028437332142455835,NA,0.03531687253719723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSM3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005703747307598253,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009538998376194626,NA,NA,0.01272210909709254,NA,NA,NA,NA,NA,0.01475722281997833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAP2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00414723521910291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026531964730384903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04734121526635116
MAPRE1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0044666116183905424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03554852978080586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARCKS,1.9057919963617813e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01320863301927489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAT2B,1.9057919963617813e-8,4.852824304672357e-6,NA,NA,NA,NA,NA,7.754385406786222e-5,NA,NA,NA,NA,NA,6.318141320912785e-4,7.170275110421054e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001904747164300816,NA,NA,0.002863318100961287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01573638583720947,NA,NA,NA,NA,NA,0.019879526250077374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCM2,NA,NA,NA,NA,NA,6.272587056543153e-5,7.754385406786222e-5,NA,NA,2.986348066423768e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001392368373462992,NA,0.0015372146230018312,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00394577714372787,NA,NA,NA,NA,0.0044666116183905424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009650295872766095,0.010448057584127665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018065730846153497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02759444366591591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCM3,NA,NA,NA,NA,NA,6.272587056543153e-5,7.754385406786222e-5,NA,NA,2.986348066423768e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001392368373462992,NA,0.0015372146230018312,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00394577714372787,NA,NA,NA,NA,0.0044666116183905424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009650295872766095,0.010448057584127665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018065730846153497,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026531964730384903,0.02759444366591591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCM7,NA,NA,NA,NA,NA,6.272587056543153e-5,7.754385406786222e-5,NA,NA,2.986348066423768e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001392368373462992,NA,0.0015372146230018312,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00394577714372787,NA,NA,NA,NA,0.0044666116183905424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009650295872766095,0.010448057584127665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018065730846153497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02759444366591591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MPST,1.9057919963617813e-8,4.852824304672357e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRI1,1.9057919963617813e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.318141320912785e-4,7.170275110421054e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04359178583983181,NA,NA,NA,NA,NA
MSN,NA,NA,6.299808378179526e-6,NA,5.1337090391187706e-5,NA,NA,NA,NA,NA,3.3885149264724454e-4,NA,NA,NA,NA,NA,7.192595792582219e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0041152480491620826,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006795339575029228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036951320322312485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MTHFD1,1.9057919963617813e-8,NA,NA,NA,NA,NA,NA,7.754385406786222e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0012222052267206048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00414723521910291,NA,NA,NA,NA,NA,NA,0.00609765100943916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NDUFA13,1.9057919963617813e-8,NA,NA,NA,NA,NA,NA,NA,2.3629151823972944e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00308113120163274,NA,NA,0.0040065964424969985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NDUFS1,1.9057919963617813e-8,NA,NA,NA,NA,NA,NA,NA,2.3629151823972944e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00308113120163274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01850908263958806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04309520585522911,NA,NA,NA,NA,NA,NA,NA,NA,NA
NDUFV1,1.9057919963617813e-8,NA,NA,NA,NA,NA,NA,NA,2.3629151823972944e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00308113120163274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01850908263958806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04309520585522911,NA,NA,NA,NA,NA,NA,NA,NA,NA
NRCAM,NA,NA,6.299808378179526e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.192595792582219e-4,NA,NA,NA,0.0011147250767436208,0.0011147250767436208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0041152480491620826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OPCML,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00414723521910291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P4HB,1.9057919963617813e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00609765100943916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
