Genes,cadherin binding (GO:0045296),purine ribonucleoside triphosphate binding (GO:0035639),RNA binding (GO:0003723),GTP binding (GO:0005525),tubulin binding (GO:0015631),microtubule binding (GO:0008017),protein kinase binding (GO:0019901),guanyl ribonucleotide binding (GO:0032561),nucleoside-triphosphatase activity (GO:0017111),GTPase activity (GO:0003924),kinase binding (GO:0019900),syntaxin-1 binding (GO:0017075),actin binding (GO:0003779),ubiquitin protein ligase binding (GO:0031625),magnesium ion binding (GO:0000287),ATP binding (GO:0005524),ubiquitin-like protein ligase binding (GO:0044389),protein kinase A catalytic subunit binding (GO:0034236),adenyl ribonucleotide binding (GO:0032559),protein heterodimerization activity (GO:0046982),dihydropyrimidinase activity (GO:0004157),G protein-coupled serotonin receptor binding (GO:0031821),cAMP-dependent protein kinase inhibitor activity (GO:0004862),protein serine/threonine kinase inhibitor activity (GO:0030291),syntaxin binding (GO:0019905),"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides (GO:0016812)",cAMP-dependent protein kinase regulator activity (GO:0008603),semaphorin receptor activity (GO:0017154),ubiquitin-dependent protein binding (GO:0140036),dynactin binding (GO:0034452),"intramolecular oxidoreductase activity, transposing C=C bonds (GO:0016863)",tau protein binding (GO:0048156),insulin-like growth factor receptor binding (GO:0005159),metal ion binding (GO:0046872),snRNA binding (GO:0017069),"ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)","proton-transporting ATPase activity, rotational mechanism (GO:0046961)",MHC class I protein binding (GO:0042288),phosphatidylinositol bisphosphate binding (GO:1902936),tau-protein kinase activity (GO:0050321),ATPase activator activity (GO:0001671),G protein-coupled receptor binding (GO:0001664),ubiquitin-specific protease binding (GO:1990381),TBP-class protein binding (GO:0017025),disordered domain specific binding (GO:0097718),gamma-tubulin binding (GO:0043015),pyrophosphate hydrolysis-driven proton transmembrane transporter activity (GO:0009678),general transcription initiation factor binding (GO:0140296),ADP binding (GO:0043531),GDP binding (GO:0019003),MHC protein binding (GO:0042287),protease binding (GO:0002020),ATPase binding (GO:0051117),double-stranded RNA binding (GO:0003725),ubiquitin binding (GO:0043130),protein tyrosine phosphatase activity (GO:0004725),chemoattractant activity (GO:0042056),DNA secondary structure binding (GO:0000217)
EMD,4.6841787774702886e-11,NA,NA,NA,1.2579167016153836e-6,NA,NA,NA,NA,NA,NA,NA,1.3045456403884163e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENO1,4.6841787774702886e-11,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ERH,NA,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FARSA,NA,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FASN,4.6841787774702886e-11,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FBLN1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010375031334802389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAPDH,NA,NA,NA,NA,1.2579167016153836e-6,1.4504019295533798e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025090238576642023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GNAI1,NA,1.0430898997778833e-9,NA,1.0041493178066567e-6,NA,NA,NA,3.679031089660104e-6,1.046727946824993e-5,2.315330539759467e-5,NA,NA,NA,NA,1.853951024717701e-4,NA,NA,NA,NA,NA,NA,0.0016770008542963586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010375031334802389,NA,NA,NA,NA,NA,NA,NA,0.019289623334601234,NA,NA,NA,NA,NA,NA,NA,0.03550762068960467,NA,NA,NA,NA,NA,NA,NA,NA
GNAI2,NA,NA,NA,NA,NA,NA,NA,NA,1.046727946824993e-5,2.315330539759467e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019289623334601234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GNAQ,NA,NA,NA,NA,NA,NA,NA,NA,1.046727946824993e-5,2.315330539759467e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016770008542963586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019289623334601234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSK3B,NA,NA,NA,NA,NA,NA,2.5119347480972067e-6,NA,NA,NA,4.14761271205937e-5,NA,NA,1.4583687065963767e-4,NA,NA,2.498693035475243e-4,3.235693963542983e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007071713317772018,NA,0.009033491594703935,NA,NA,NA,NA,NA,NA,NA,0.019242788347178488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038635410481223535,NA,NA,NA,NA,NA,NA
GSS,NA,1.0430898997778833e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.853951024717701e-4,2.2099906592888062e-4,NA,NA,4.985827366232171e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010375031334802389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HDGF,NA,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HMGB2,NA,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04619808066200124,0.04883859139467004
HNRNPF,NA,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HSPE1,NA,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010375031334802389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IDH1,4.6841787774702886e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.853951024717701e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010375031334802389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KIF5C,NA,NA,NA,NA,1.2579167016153836e-6,1.4504019295533798e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KRAS,NA,1.0430898997778833e-9,NA,1.0041493178066567e-6,NA,NA,NA,3.679031089660104e-6,1.046727946824993e-5,2.315330539759467e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03550762068960467,NA,NA,NA,NA,NA,NA,NA,NA
LSM5,NA,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.987396476440595e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAP1A,NA,NA,NA,NA,1.2579167016153836e-6,1.4504019295533798e-6,NA,NA,NA,NA,NA,NA,1.3045456403884163e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009033491594703935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAP1B,NA,NA,NA,NA,1.2579167016153836e-6,1.4504019295533798e-6,NA,NA,NA,NA,NA,NA,1.3045456403884163e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAP6,NA,NA,NA,NA,1.2579167016153836e-6,1.4504019295533798e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAPT,NA,NA,1.276487021928562e-8,NA,1.2579167016153836e-6,1.4504019295533798e-6,2.5119347480972067e-6,NA,NA,NA,4.14761271205937e-5,NA,1.3045456403884163e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007071713317772018,NA,NA,NA,NA,NA,NA,NA,NA,0.018681112977218903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04883859139467004
MIF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008298653259884334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04619808066200124,NA
MYH9,4.6841787774702886e-11,1.0430898997778833e-9,1.276487021928562e-8,NA,NA,NA,NA,NA,1.046727946824993e-5,NA,NA,NA,1.3045456403884163e-4,NA,NA,2.2099906592888062e-4,NA,NA,4.985827366232171e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03384980987183882,NA,NA,NA,NA,NA,NA,NA,NA,NA
MYO18A,NA,1.0430898997778833e-9,1.276487021928562e-8,NA,NA,NA,NA,NA,1.046727946824993e-5,NA,NA,NA,NA,NA,NA,2.2099906592888062e-4,NA,NA,4.985827366232171e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03384980987183882,NA,NA,NA,NA,NA,NA,NA,NA,NA
MYO5A,NA,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NDRG1,4.6841787774702886e-11,NA,NA,NA,1.2579167016153836e-6,1.4504019295533798e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025090238576642023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEDD8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4583687065963767e-4,NA,NA,2.498693035475243e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NSF,NA,NA,NA,NA,NA,NA,2.5119347480972067e-6,NA,NA,NA,4.14761271205937e-5,8.159832247124941e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004451850328550119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NUDT3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.853951024717701e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010375031334802389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PARP1,NA,NA,1.276487021928562e-8,NA,NA,NA,2.5119347480972067e-6,NA,NA,NA,4.14761271205937e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PDAP1,NA,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PDXK,NA,1.0430898997778833e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.853951024717701e-4,2.2099906592888062e-4,NA,NA,4.985827366232171e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010375031334802389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PDXP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.853951024717701e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010375031334802389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFKP,4.6841787774702886e-11,1.0430898997778833e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2099906592888062e-4,NA,NA,4.985827366232171e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFN2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3045456403884163e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018681112977218903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.987396476440595e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019289623334601234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLXNA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005934904749305065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLXNA4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005934904749305065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PPIA,NA,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PPP1CC,NA,NA,1.276487021928562e-8,NA,NA,NA,2.5119347480972067e-6,NA,NA,NA,4.14761271205937e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PPP3CB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010375031334802389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRKAR1A,NA,NA,NA,NA,NA,NA,2.5119347480972067e-6,NA,NA,NA,NA,NA,NA,1.4583687065963767e-4,NA,NA,2.498693035475243e-4,3.235693963542983e-4,NA,NA,NA,NA,0.00308628439020542,0.004015437023104063,NA,NA,0.004890312077824842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
