Genes,cadherin binding (GO:0045296),purine ribonucleoside triphosphate binding (GO:0035639),RNA binding (GO:0003723),GTP binding (GO:0005525),tubulin binding (GO:0015631),microtubule binding (GO:0008017),protein kinase binding (GO:0019901),guanyl ribonucleotide binding (GO:0032561),nucleoside-triphosphatase activity (GO:0017111),GTPase activity (GO:0003924),kinase binding (GO:0019900),syntaxin-1 binding (GO:0017075),actin binding (GO:0003779),ubiquitin protein ligase binding (GO:0031625),magnesium ion binding (GO:0000287),ATP binding (GO:0005524),ubiquitin-like protein ligase binding (GO:0044389),protein kinase A catalytic subunit binding (GO:0034236),adenyl ribonucleotide binding (GO:0032559),protein heterodimerization activity (GO:0046982),dihydropyrimidinase activity (GO:0004157),G protein-coupled serotonin receptor binding (GO:0031821),cAMP-dependent protein kinase inhibitor activity (GO:0004862),protein serine/threonine kinase inhibitor activity (GO:0030291),syntaxin binding (GO:0019905),"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides (GO:0016812)",cAMP-dependent protein kinase regulator activity (GO:0008603),semaphorin receptor activity (GO:0017154),ubiquitin-dependent protein binding (GO:0140036),dynactin binding (GO:0034452),"intramolecular oxidoreductase activity, transposing C=C bonds (GO:0016863)",tau protein binding (GO:0048156),insulin-like growth factor receptor binding (GO:0005159),metal ion binding (GO:0046872),snRNA binding (GO:0017069),"ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)","proton-transporting ATPase activity, rotational mechanism (GO:0046961)",MHC class I protein binding (GO:0042288),phosphatidylinositol bisphosphate binding (GO:1902936),tau-protein kinase activity (GO:0050321),ATPase activator activity (GO:0001671),G protein-coupled receptor binding (GO:0001664),ubiquitin-specific protease binding (GO:1990381),TBP-class protein binding (GO:0017025),disordered domain specific binding (GO:0097718),gamma-tubulin binding (GO:0043015),pyrophosphate hydrolysis-driven proton transmembrane transporter activity (GO:0009678),general transcription initiation factor binding (GO:0140296),ADP binding (GO:0043531),GDP binding (GO:0019003),MHC protein binding (GO:0042287),protease binding (GO:0002020),ATPase binding (GO:0051117),double-stranded RNA binding (GO:0003725),ubiquitin binding (GO:0043130),protein tyrosine phosphatase activity (GO:0004725),chemoattractant activity (GO:0042056),DNA secondary structure binding (GO:0000217)
PRKAR2B,NA,NA,NA,NA,NA,NA,2.5119347480972067e-6,NA,NA,NA,NA,NA,NA,1.4583687065963767e-4,NA,NA,2.498693035475243e-4,3.235693963542983e-4,NA,NA,NA,NA,0.00308628439020542,0.004015437023104063,NA,NA,0.004890312077824842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSMA3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4583687065963767e-4,NA,NA,2.498693035475243e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSMC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023069431684193193,NA,NA,NA,0.03156182748740934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSMC5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019289623334601234,NA,0.023069431684193193,NA,NA,NA,0.03156182748740934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTPRS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04552733132972869,NA,NA
PTPRZ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04552733132972869,NA,NA
RAD23A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.14761271205937e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02111969246326869,NA,NA,NA,NA,NA,NA,NA,NA,0.038635410481223535,NA,NA,0.04552733132972869,NA,NA,NA
RAP2B,NA,1.0430898997778833e-9,NA,1.0041493178066567e-6,NA,NA,NA,3.679031089660104e-6,1.046727946824993e-5,2.315330539759467e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03550762068960467,NA,NA,NA,NA,NA,NA,NA,NA
RCC2,NA,NA,1.276487021928562e-8,NA,1.2579167016153836e-6,1.4504019295533798e-6,2.5119347480972067e-6,NA,NA,NA,4.14761271205937e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RHOB,NA,1.0430898997778833e-9,NA,1.0041493178066567e-6,NA,NA,2.5119347480972067e-6,3.679031089660104e-6,1.046727946824993e-5,2.315330539759467e-5,4.14761271205937e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RPS10,NA,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTN4,4.6841787774702886e-11,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4583687065963767e-4,NA,NA,2.498693035475243e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SARNP,NA,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SERBP1,4.6841787774702886e-11,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SIRPA,NA,NA,NA,NA,NA,NA,2.5119347480972067e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLC25A5,NA,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4583687065963767e-4,NA,NA,2.498693035475243e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLC3A2,4.6841787774702886e-11,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04401861780100741,NA,NA,NA,NA
SNAP25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.159832247124941e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004451850328550119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNAP91,NA,NA,NA,NA,NA,NA,2.5119347480972067e-6,NA,NA,NA,4.14761271205937e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018681112977218903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNRPA1,NA,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01102179851199968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPTAN1,4.6841787774702886e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPTBN2,4.6841787774702886e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRP14,NA,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STMN2,NA,NA,NA,NA,1.2579167016153836e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STX1B,NA,NA,NA,NA,NA,NA,2.5119347480972067e-6,NA,NA,NA,4.14761271205937e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STXBP1,NA,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,8.159832247124941e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004451850328550119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYN3,NA,1.0430898997778833e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2099906592888062e-4,NA,NA,4.985827366232171e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TJP1,4.6841787774702886e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TLN1,4.6841787774702886e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMPO,4.6841787774702886e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP53BP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005934904749305065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TPM1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3045456403884163e-4,NA,NA,NA,NA,NA,NA,9.987396476440595e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRMT112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.987396476440595e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUBA1A,NA,1.0430898997778833e-9,NA,1.0041493178066567e-6,NA,NA,NA,3.679031089660104e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUBB,NA,1.0430898997778833e-9,NA,1.0041493178066567e-6,NA,NA,NA,3.679031089660104e-6,NA,NA,NA,NA,NA,1.4583687065963767e-4,NA,NA,2.498693035475243e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014067209024800026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036200453498927185,NA,NA,NA,NA,NA,NA,NA
TUBB2A,NA,1.0430898997778833e-9,NA,1.0041493178066567e-6,NA,NA,NA,3.679031089660104e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUBB2B,NA,1.0430898997778833e-9,NA,1.0041493178066567e-6,NA,NA,NA,3.679031089660104e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.987396476440595e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUBB3,NA,1.0430898997778833e-9,NA,1.0041493178066567e-6,NA,NA,NA,3.679031089660104e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUBB4A,NA,1.0430898997778833e-9,NA,1.0041493178066567e-6,NA,NA,NA,3.679031089660104e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010375031334802389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUBB4B,NA,1.0430898997778833e-9,1.276487021928562e-8,1.0041493178066567e-6,NA,NA,NA,3.679031089660104e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014067209024800026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036200453498927185,NA,NA,0.04401861780100741,NA,NA,NA,NA
UBA52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4583687065963767e-4,NA,NA,2.498693035475243e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCHL1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4583687065963767e-4,NA,NA,2.498693035475243e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04552733132972869,NA,NA,NA
VAMP2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.159832247124941e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004451850328550119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YKT6,4.6841787774702886e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YWHAG,NA,NA,1.276487021928562e-8,NA,NA,NA,2.5119347480972067e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004015437023104063,NA,NA,NA,NA,NA,NA,NA,NA,0.00961367384520544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YWHAH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.987396476440595e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00961367384520544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YWHAZ,4.6841787774702886e-11,NA,1.276487021928562e-8,NA,NA,NA,2.5119347480972067e-6,NA,NA,NA,4.14761271205937e-5,NA,NA,1.4583687065963767e-4,NA,NA,2.498693035475243e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
